Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,vel1,vel2,vel3,vel4,vel5,vel6,rf1,rf2,rf3,F_exp1,F_exp2,F_exp3,beta,Ci11,Ci12,Ci13,Ci21,Ci22,Ci23,Ci31,Ci32,Ci33,Mi_inv11,Mi_inv12,Mi_inv13,Mi_inv21,Mi_inv22,Mi_inv23,Mi_inv31,Mi_inv32,Mi_inv33
1781299702805060,0.00783653,-0.353935,1.81998,0,0.967995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37241,0.00291846,0.120306,-3.13376,-0.000314198,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702810184,0.00783653,-0.353935,1.81998,0,0.967995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37241,0.00291846,0.120306,-3.13376,-0.000314198,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702815177,0.00783653,-0.353935,1.81998,0,0.967995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37241,0.00291846,0.120306,-3.13376,-0.000314198,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702820302,0.00783653,-0.353935,1.81998,0,0.967995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37241,0.00291846,0.120306,-3.13376,-0.000314198,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702825302,0.00783653,-0.353935,1.81998,0,0.967995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37241,0.00291846,0.120306,-3.13376,-0.000314198,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702830435,0.00783653,-0.353935,1.81998,0,0.967995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37241,0.00291846,0.120306,-3.13376,-0.000314198,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702835429,0.00783653,-0.353935,1.81998,0,0.967995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37241,0.00291846,0.120306,-3.13376,-0.000314198,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702840549,0.00783653,-0.353935,1.81998,0,0.967995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37241,0.00291846,0.120306,-3.13376,-0.000314198,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702845566,0.00783653,-0.353935,1.81998,-1.74533e-05,0.967995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37241,0.00291501,0.120306,-3.13375,-0.000314198,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702850686,0.00783653,-0.353935,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372406,0.00291498,0.120306,-3.13375,-0.000331655,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702855833,0.00783653,-0.353935,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372406,0.00291498,0.120306,-3.13375,-0.000331655,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702860844,0.00783653,-0.353935,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372406,0.00291498,0.120306,-3.13375,-0.000331655,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702865975,0.00783653,-0.353935,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372406,0.00291498,0.120306,-3.13375,-0.000331655,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702870945,0.00783653,-0.353935,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372406,0.00291498,0.120306,-3.13375,-0.000331655,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702876054,0.00783653,-0.353935,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372406,0.00291498,0.120306,-3.13375,-0.000331655,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702881008,0.00783653,-0.353935,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372406,0.00291498,0.120306,-3.13375,-0.000331655,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702886177,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702891186,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702896293,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299702901346,0.00781908,-0.353918,1.81998,-1.74533e-05,0.968012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372407,0.00290849,0.120313,-3.13376,-0.000314258,-3.14158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
