Time_us,Q1,Q2,Q3,Q4,Q5,Q6,Qdot_a1,Qdot_a2,Qdot_a3,Qdot_a4,Qdot_a5,Qdot_a6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,X,Y,Z,Rx,Ry,Rz,FT1,FT2,FT3,FT4,FT5,FT6,F_cmd1,F_cmd2,F_cmd3,F_cmd4,F_cmd5,F_cmd6,v_meas1,v_meas2,v_meas3,v_meas4,v_meas5,v_meas6,vel1,vel2,vel3,vel4,vel5,vel6,rf1,rf2,rf3,F_exp1,F_exp2,F_exp3,beta,Ci11,Ci12,Ci13,Ci21,Ci22,Ci23,Ci31,Ci32,Ci33,Mi_inv11,Mi_inv12,Mi_inv13,Mi_inv21,Mi_inv22,Mi_inv23,Mi_inv31,Mi_inv32,Mi_inv33
1781299384289557,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384294718,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384299725,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384304796,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384309870,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384314998,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384319949,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384325098,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384330240,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384335216,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384340167,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384345344,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384350467,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384355469,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384360415,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384365556,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384370712,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384375714,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384380838,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384385839,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384390967,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384395968,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384401088,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384406041,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384411209,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384416210,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
1781299384421336,0.00774926,-0.35397,1.81998,0,0.967977,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372411,0.00288597,0.120293,-3.13384,-0.000331607,3.14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,20,0,0,0,20,0.1,0,0,0,0.1,0,0,0,0.1
